day,record_count
2024-06-27,41
2024-06-17,41
2024-06-16,1599
2024-06-15,1350
2024-06-14,977
2024-06-13,969
2024-06-12,1272
2024-06-11,1242
2024-06-10,1204
2024-06-09,1691
2024-06-08,1190
2024-06-07,957
2024-06-06,1125
2024-06-05,1444
2024-06-04,1709
2024-06-03,1304
2024-06-02,2186
2024-06-01,1982
2024-05-31,1449
2024-05-30,1695
2024-05-29,1362
2024-05-28,1418
2024-05-27,1273
2024-05-26,1522
2024-05-25,1344
2024-05-24,1056
2024-05-23,1332
2024-05-22,1798
2024-05-21,1574
2024-05-20,1546
2024-05-19,1710
2024-05-18,1577
2024-05-17,1307
2024-05-16,1669
2024-05-15,1672
2024-05-14,1537
2024-05-13,1504
2024-05-12,2198
2024-05-11,1844
2024-05-10,1438
2024-05-09,1788
2024-05-08,1577
2024-05-07,1624
2024-05-06,2042
2024-05-05,2580
2024-05-04,2270
2024-05-03,1737
2024-05-02,1485
2024-05-01,2821
2024-04-30,1386
2024-04-29,1408
2024-04-28,2408
2024-04-27,2067
2024-04-26,1444
2024-04-25,1409
2024-04-24,1237
2024-04-23,1254
2024-04-22,1348
2024-04-21,2429
2024-04-20,2129
2024-04-19,1536
2024-04-18,1439
2024-04-17,1490
2024-04-16,1585
2024-04-15,1543
2024-04-14,2169
2024-04-13,1817
2024-04-12,1203
2024-04-11,2036
2024-04-10,2228
2024-04-09,2223
2024-04-08,1741
2024-04-07,2291
2024-04-06,2078
2024-04-05,1977
2024-04-04,1781
2024-04-03,1680
2024-04-02,1471
2024-04-01,2001
2024-03-31,1275
2024-03-30,1144
2024-03-29,1554
2024-03-28,1010
2024-03-27,1129
2024-03-26,1552
2024-03-25,1479
2024-03-24,2552
2024-03-23,2158
2024-03-22,1583
2024-03-21,1536
2024-03-20,1742
2024-03-19,1723
2024-03-18,1790
2024-03-17,2831
2024-03-16,2518
2024-03-15,2147
2024-03-14,2117
2024-03-13,2191
2024-03-12,2394
2024-03-11,2035
2024-03-10,3030
2024-03-09,2715
2024-03-08,2025
2024-03-07,2118
2024-03-06,2558
2024-03-05,2536
2024-03-04,2225
2024-03-03,3468
2024-03-02,2750
2024-03-01,2335
2024-02-29,2413
2024-02-28,2644
2024-02-27,2561
2024-02-26,2408
2024-02-25,3562
2024-02-24,3196
2024-02-23,2578
2024-02-22,2878
2024-02-21,2791
2024-02-20,2727
2024-02-19,2700
2024-02-18,3493
2024-02-17,2929
2024-02-16,2532
2024-02-15,2386
2024-02-14,2056
2024-02-13,2299
2024-02-12,2566
2024-02-11,3666
2024-02-10,3126
2024-02-09,2744
2024-02-08,2802
2024-02-07,2762
2024-02-06,2866
2024-02-05,2867
2024-02-04,2933
2024-02-03,2951
2024-02-02,2528
2024-02-01,2462
2024-01-31,1768
2024-01-30,1629
2024-01-29,1502
2024-01-28,2338
2024-01-27,1950
2024-01-26,1545
2024-01-25,1711
2024-01-24,1832
2024-01-23,2263
2024-01-22,2281
2024-01-21,2880
2024-01-20,2629
2024-01-19,2184
2024-01-18,2085
2024-01-17,1764
2024-01-16,1670
2024-01-15,1994
2024-01-14,3314
2024-01-13,3276
2024-01-12,2881
2024-01-11,3281
2024-01-10,2273
2024-01-09,2046
2024-01-08,1932
2024-01-07,2818
2024-01-06,2519
2024-01-05,2257
2024-01-04,2195
2024-01-03,2424
2024-01-02,2489
2024-01-01,2069
2023-12-31,1514
2023-12-30,1903
2023-12-29,1996
2023-12-28,2193
2023-12-27,2245
2023-12-26,2062
2023-12-25,855
2023-12-24,696
2023-12-23,889
2023-12-22,757
2023-12-21,1054
2023-12-20,1173
2023-12-19,1183
2023-12-18,1230
2023-12-17,1812
2023-12-16,1545
2023-12-15,1239
2023-12-14,1248
2023-12-13,1234
2023-12-12,1180
2023-12-11,1220
2023-12-10,1694
2023-12-09,1527
2023-12-08,1341
2023-12-07,1386
2023-12-06,1334
2023-12-05,1354
2023-12-04,1353
2023-12-03,1955
2023-12-02,1681
2023-12-01,1278
2023-11-30,1385
2023-11-29,1303
2023-11-28,984
2023-11-27,825
2023-11-26,1366
2023-11-25,1082
2023-11-24,928
2023-11-23,918
2023-11-22,1004
2023-11-21,1066
2023-11-20,1121
2023-11-19,1605
2023-11-18,1411
2023-11-17,1189
2023-11-16,1232
2023-11-15,1206
2023-11-14,1212
2023-11-13,1499
2023-11-12,2119
2023-11-11,1943
2023-11-10,1866
2023-11-09,1981
2023-11-08,1990
2023-11-07,1998
2023-11-06,2109
2023-11-05,2752
2023-11-04,2736
2023-11-03,2352
2023-11-02,1995
2023-11-01,2050
2023-10-31,1460
2023-10-30,1028
2023-10-29,1492
2023-10-28,1426
2023-10-27,1215
2023-10-26,908
2023-10-25,724
2023-10-24,564
2023-10-23,1265
2023-10-22,3316
2023-10-21,3258
2023-10-20,2904
2023-10-19,1767
2023-10-18,1939
2023-10-17,1839
2023-10-16,2387
2023-10-15,4175
2023-10-14,3356
2023-10-13,2557
2023-10-12,2709
2023-10-11,2414
2023-10-10,2451
2023-10-09,2809
2023-10-08,4679
2023-10-07,4094
2023-10-06,3190
2023-10-05,2810
2023-10-04,3005
2023-10-03,3534
2023-10-02,2846
2023-10-01,4066
2023-09-30,3220
2023-09-29,2780
2023-09-28,3070
2023-09-27,3170
2023-09-26,2957
2023-09-25,2895
2023-09-24,4574
2023-09-23,3903
2023-09-22,3022
2023-09-21,3359
2023-09-20,3250
2023-09-19,3593
2023-09-18,3398
2023-09-17,5838
2023-09-16,4345
2023-09-15,3438
2023-09-14,3669
2023-09-13,2673
2023-09-12,2778
2023-09-11,2426
2023-09-10,4242
2023-09-09,3270
2023-09-08,2244
2023-09-07,1751
2023-09-06,1704
2023-09-05,1883
2023-09-04,1633
2023-09-03,2871
2023-09-02,2254
2023-09-01,2152
2023-08-31,2230
2023-08-30,2526
2023-08-29,2311
2023-08-28,2024
2023-08-27,3075
2023-08-26,2467
2023-08-25,2286
2023-08-24,1821
2023-08-23,1671
2023-08-22,1362
2023-08-21,1502
2023-08-20,2385
2023-08-19,2272
2023-08-18,2235
2023-08-17,2228
2023-08-16,1886
2023-08-15,1803
2023-08-14,1314
2023-08-13,1711
2023-08-12,1497
2023-08-11,1097
2023-08-10,1471
2023-08-09,1760
2023-08-08,1550
2023-08-07,1371
2023-08-06,2207
2023-08-05,2005
2023-08-04,1824
2023-08-03,2118
2023-08-02,2179
2023-08-01,2345
2023-07-31,1755
2023-07-30,2361
2023-07-29,1812
2023-07-28,1434
2023-07-27,1598
2023-07-26,1351
2023-07-25,1221
2023-07-24,1359
2023-07-23,2349
2023-07-22,1638
2023-07-21,1457
2023-07-20,1478
2023-07-19,1842
2023-07-18,1256
2023-07-17,1404
2023-07-16,2360
2023-07-15,1943
2023-07-14,1889
2023-07-13,1493
2023-07-12,809
2023-07-11,761
2023-07-10,894
2023-07-09,1536
2023-07-08,1217
2023-07-07,1504
2023-07-06,1483
2023-07-05,1277
2023-07-04,1139
2023-07-03,1294
